+----------------------------------------------------------------------------+
| Statistics from last 100 episodes:                                         |
|----------------------------------------------------------------------------|
| Episodes   | Time       | Mean Score     | Mean Max Tile  | Max Tile       |
|      23000 |     183.02 |       15240.38 |        1190.40 |           4096 |
Model saved to td_agent_episode_ft23000.pkl
|      23100 |     301.63 |       15245.84 |        1095.68 |           2048 |
|      23200 |     180.64 |       15254.04 |        1128.96 |           2048 |
|      23300 |     171.14 |       15256.24 |        1031.68 |           2048 |
|      23400 |     181.30 |       15264.42 |        1141.76 |           2048 |
|      23500 |     175.38 |       15269.40 |        1070.08 |           4096 |
|      23600 |     167.15 |       15270.12 |        1038.08 |           2048 |
|      23700 |     173.24 |       15273.69 |        1052.16 |           2048 |
|      23800 |     169.22 |       15275.86 |        1064.96 |           2048 |
|      23900 |     176.52 |       15281.32 |        1098.24 |           2048 |
|      24000 |     176.00 |       15286.80 |        1113.60 |           2048 |
Model saved to td_agent_episode_ft24000.pkl
|      24100 |     304.10 |       15289.03 |        1075.20 |           2048 |
|      24200 |     194.39 |       15291.57 |        1056.00 |           4096 |
|      24300 |     178.54 |       15297.95 |        1136.64 |           2048 |
|      24400 |     186.14 |       15308.09 |        1185.28 |           4096 |
|      24500 |     166.81 |       15307.43 |         993.28 |           2048 |
|      24600 |     187.78 |       15318.01 |        1159.68 |           2048 |
|      24700 |     178.96 |       15323.98 |        1121.28 |           2048 |
|      24800 |     171.00 |       15325.43 |        1027.84 |           4096 |
|      24900 |     181.05 |       15332.36 |        1139.20 |           2048 |
|      25000 |     174.04 |       15335.35 |        1064.96 |           2048 |
Model saved to td_agent_episode_ft25000.pkl
|      25100 |     315.31 |       15338.74 |        1082.88 |           4096 |
|      25200 |     175.03 |       15344.09 |        1136.64 |           2048 |
|      25300 |     194.97 |       15347.46 |        1062.40 |           2048 |
|      25400 |     166.16 |       15346.96 |        1008.64 |           2048 |
|      25500 |     168.57 |       15348.37 |        1088.00 |           2048 |
|      25600 |     178.05 |       15354.56 |        1135.36 |           2048 |
|      25700 |     184.83 |       15361.27 |        1172.48 |           2048 |
|      25800 |     174.93 |       15365.01 |        1098.24 |           2048 |
